Wall time,Step,Value
1654665018.410768,1232959,202.4315948486328
1654665021.8140135,1233039,205.43301391601562
1654665025.6607332,1233119,202.41726684570312
1654665029.2869964,1233199,200.62289428710938
1654665032.8687441,1233279,202.62762451171875
1654665036.4246438,1233359,203.10379028320312
1654665039.9446445,1233439,200.58213806152344
1654665043.514299,1233519,205.45603942871094
1654665047.0557659,1233599,202.1704864501953
1654665050.5337095,1233679,204.13372802734375
1654665054.0722291,1233759,203.29542541503906
1654665057.5161824,1233839,200.51254272460938
1654665061.1713996,1233919,204.17291259765625
1654665064.737559,1233999,200.63575744628906
1654665068.2244678,1234079,203.75584411621094
1654665071.7184694,1234159,201.16368103027344
1654665075.2006042,1234239,202.19012451171875
1654665078.7290764,1234319,203.44314575195312
1654665082.2595897,1234399,201.60162353515625
1654665085.7622797,1234479,205.5556182861328
1654665089.342409,1234559,205.5046844482422
1654665093.0031412,1234639,198.4880828857422
1654665096.602036,1234719,200.22967529296875
1654665100.2275414,1234799,203.1302490234375
1654665103.8025079,1234879,200.70083618164062
1654665107.3184206,1234959,200.38821411132812
1654665110.8549047,1235039,201.93515014648438
1654665114.4312432,1235119,201.05532836914062
1654665117.9678879,1235199,201.5109405517578
1654665121.494427,1235279,204.5146942138672
1654665125.2658732,1235359,201.37168884277344
1654665128.7958272,1235439,202.4104461669922
1654665132.2343583,1235519,199.732666015625
1654665135.7318122,1235599,198.49217224121094
1654665139.3753107,1235679,198.80198669433594
1654665142.9339862,1235759,202.15701293945312
1654665146.4489188,1235839,201.82369995117188
1654665149.9743984,1235919,203.54896545410156
1654665153.5137255,1235999,201.6678466796875
1654665157.1750977,1236079,201.05288696289062
1654665160.8559186,1236159,198.43777465820312
1654665164.4477787,1236239,197.70623779296875
1654665167.9895458,1236319,199.38119506835938
1654665171.787685,1236399,200.14501953125
1654665175.523803,1236479,200.4735870361328
1654665179.4366505,1236559,201.59214782714844
1654665183.3666034,1236639,199.98165893554688
1654665186.8577,1236719,199.73765563964844
1654665190.5441127,1236799,200.30447387695312
1654665194.1105113,1236879,200.4965057373047
1654665197.704016,1236959,198.28321838378906
1654665201.1474264,1237039,199.76376342773438
1654665204.6822217,1237119,199.68206787109375
1654665208.173718,1237199,202.26058959960938
1654665211.7694263,1237279,201.94577026367188
1654665215.2260535,1237359,202.55886840820312
1654665218.8707664,1237439,203.84230041503906
1654665222.261654,1237519,201.82736206054688
1654665225.7433274,1237599,200.07386779785156
1654665228.8927786,1237679,198.67527770996094
1654665232.4840457,1237759,202.89390563964844
1654665235.8748324,1237839,199.74839782714844
1654665239.6058304,1237919,197.31739807128906
1654665243.1422386,1237999,201.40992736816406
1654665246.658975,1238079,201.0121307373047
1654665250.6269019,1238159,200.41949462890625
1654665254.4832747,1238239,205.3235321044922
1654665258.0041509,1238319,199.71951293945312
1654665261.123854,1238399,201.5349884033203
1654665264.5649862,1238479,202.74290466308594
1654665268.0793881,1238559,199.25465393066406
1654665271.7257495,1238639,199.91351318359375
1654665275.1958976,1238719,200.63401794433594
1654665278.5485268,1238799,197.94105529785156
